Post_ID,User_ID,Secret,Server,Title,Is_Public,Is_Friend,Is_Family,Farm,City,Country,Post_Date,Taken_Date,Tags,Latitude,Longitude,Description,Min_Taken_Date
49294686561,61614526@N08,6ee8e62388,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:19,2019-12-15 19:22:31,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294882732,61614526@N08,93c6e87369,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:20,2019-12-15 19:23:28,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294195848,61614526@N08,8700d1bf79,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:21,2019-12-15 19:23:59,"donostiasansebastian,esp,españa,paisvasco,zorroaga,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294686366,61614526@N08,8a32b5c90f,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:23,2019-12-15 19:28:21,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294686416,61614526@N08,8bcfe35973,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:22,2019-12-15 19:26:35,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294686321,61614526@N08,d0415de415,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:24,2019-12-15 19:35:06,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294882497,61614526@N08,db48563b61,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:25,2019-12-15 19:36:55,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294882452,61614526@N08,5c48f7586a,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:26,2019-12-15 19:38:39,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294195588,61614526@N08,7248688d5a,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:27,2019-12-15 19:38:40,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
49294882317,61614526@N08,f9f15ecdf5,65535.0,cto. españa patinaje sobre hielo 2019 (donostia),1.0,0.0,0.0,66.0,NaN,NaN,2019-12-29 19:56:28,2019-12-15 20:13:49,"donostiasansebastian,esp,espaãa,paisvasco,zorroaga,españa,txuri,urdin,pais,vasco,euskadi,gipuzkoa,donostia,sansebastian,palaciodehielo,ice,canon,1dx,canon135mmf2,patinaje,hielo,skating,campeonatodeespaña2019,campeonato,competicion,txuriurdin,",43.30193,-1.971548,NaN,2019-12-15 00:00:00
